query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
гетры y2k черные широкие,гетры y2k черные широкие,[],[],['черный'],[],[],[],[],[],[],[],['clothing'],[],2
шторы в спальню 100*210,шторы в спальню 100*210,['шторы'],[],[],[],"[{'length': 100.0, 'width': 210.0, 'unit': 'unknown'}]",[],[],[],[],[],['home_textile'],[],3
big bcaa,big bcaa,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
щетки на болгарку диолд,щетки на болгарку диолд,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
цинк и медь хелат,цинк и медь хелат,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
кресло мягкое с высокой спинкой,кресло мягкое с высокой спинкой,['кресло'],[],[],[],[],[],[],[],[],[],"['food', 'furniture']",[],3
диван раскладной денвер,диван раскладной денвер,['диван'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
кроссовки 12 см,кроссовки 12 см,['кроссовки'],[],[],[],"[{'value': 12.0, 'unit': 'cm', 'type': 'dimension'}]",[],[],[],[],[],['footwear'],[],3
иглы 30g 12 мм,иглы 30g 12 мм,[],[],[],[],"[{'value': 12.0, 'unit': 'mm', 'type': 'dimension'}]",[],[],[],[],[],['supplements'],[],2
жалюзи день ночь 140 ширина,жалюзи день ночь 140 ширина,[],[],[],['140 см'],[],[],[],[],[],[],[],[],1
шторы miamoza,шторы miamoza,['шторы'],[],[],[],[],['miamoza'],[],[],[],[],['home_textile'],[],3
мешок для стирки обуви nik,мешок для стирки обуви nik,[],[],[],[],[],[],[],[],[],[],['footwear'],[],1
чистилка для перца,чистилка для перца,[],[],[],[],[],[],[],[],[],[],['household'],[],1
чернила для принтера hp deskjet 2130,чернила для принтера hp deskjet 2130,[],[],[],[],[],['hp'],[],[],[],[],['electronics'],[],2
халат для технички на молнии,халат для технички на молнии,['халат'],[],[],[],[],[],[],[],[],[],['tools'],[],2
кресло мешок в гостиную,кресло мешок в гостиную,['кресло'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
крашер для белых кроссовок,крашер для белых кроссовок,['кроссовки'],[],[],[],[],[],[],[],[],[],['footwear'],[],2
рени 297,рени 297,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
орхорай орхидеи,орхорай орхидеи,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
maytoni dot,maytoni dot,[],[],[],[],[],[],[],[],[],[],['jewelry'],[],1
гибридная газовая панель,гибридная газовая панель,[],[],[],[],[],[],[],[],[],['gas'],['construction'],[],2
кольцевая лампа со штативом 30см,кольцевая лампа со штативом 30см,['лампа'],[],[],[],"[{'value': 30.0, 'unit': 'cm', 'type': 'dimension'}]",[],[],[],[],[],['home_decor'],[],3
menu_mined_131579 мыльные пузыри,мыльные пузыри,[],[],[],[],[],[],[],[],[],[],['household'],[],1
корпус для колонок в авто,корпус для колонок в авто,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
кокон подвесной со стойкой,кокон подвесной со стойкой,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
наклейки эльза холодное сердце,наклейки эльза холодное сердце,[],['холодное сердце'],[],[],[],[],[],[],[],[],['jewelry'],[],2
рябиновые веточки,рябиновые веточки,[],[],[],[],[],[],[],[],[],[],[],[],0
мини рация 2 шт,мини рация 2 шт,[],[],[],[],[],[],[],[],[],[],['electronics'],[],1
лунный камень серьги серебро 925,лунный камень серьги серебро 925,['серьги'],[],['серебряный'],[],[],[],[],['серебро'],[],[],['jewelry'],[],4
подставка для шаров воздушных 10 шт,подставка для шаров воздушных 10 шт,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
VOLVO 940 (944) 2.4 Turbo Diesel седан Дизель 109 1990-1994 D 24 T,volvo 940 (944) 2.4 turbo diesel седан дизель 109 1990-1994 d 24 t,[],[],[],['109 см'],[],['volvo'],[],[],[],[],['kids'],[],3
чепчик с ушками коричневый,чепчик с ушками коричневый,[],[],['коричневый'],[],[],[],[],[],[],[],['clothing'],[],2
повязки мама и дочка,повязки мама и дочка,[],[],[],[],[],[],[],[],[],[],['footwear'],[],1
пробка для ванны с цепочкой заглушка,пробка для ванны с цепочкой заглушка,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
пневмошланги,пневмошланги,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
purina pro plan для стерилизованных кошек 1.5 кг,purina pro plan для стерилизованных кошек 1.5 кг,[],[],[],[],"[{'value': 1.5, 'unit': 'kg', 'type': 'weight'}]",[],[],[],[],[],['pets'],[],2
керамзит 2 5 мм,керамзит 2 5 мм,[],[],[],[],"[{'value': 5.0, 'unit': 'mm', 'type': 'dimension'}]",[],[],[],[],[],['construction'],[],2
пиво надувное шар,пиво надувное шар,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
светильник настольный красный,светильник настольный красный,['люстра'],[],['красный'],[],[],[],[],[],[],[],['furniture'],[],3
infinix note 50 про смартфон,infinix note 50 про смартфон,['телефон'],[],[],"['50', '50 см']",[],['infinix'],[],[],[],[],['electronics'],[],5
постельное белье 1 спальное мужское черное,постельное белье 1 спальное мужское черное,['нижнее белье'],[],[],[],[],[],[],[],['men'],[],['home_textile'],[],3
пуанты для начинающих 34,пуанты для начинающих 34,[],[],[],[],[],[],[],[],[],[],['musical_instruments'],[],1
органайзер настенный,органайзер настенный,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
наволочки декоративные плюшевые,наволочки декоративные плюшевые,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
футболка дантист,футболка дантист,['футболка'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
адвокат средство для кошек,адвокат средство для кошек,[],[],[],[],[],[],[],[],[],[],['pets'],[],1
чехол для домры малой,чехол для домры малой,['чехол'],[],[],[],[],[],[],[],[],[],['kids'],[],2
